"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:3459","breast carcinoma","488/9822","493/10312",2.35370713740439e-06,0.00298450065022876,0.00270552441478483,"1586/4288/1454/389/581/5071/6794/5594/4780/22938/7046/2956/5743/4524/5335/57496/3880/1263/3760/1958/8751/3815/463/1788/1874/596/598/3927/2066/5054/6387/701/8321/1909/3728/90780/3123/301/6722/207/3485/1399/23705/80760/1956/7037/7133/23492/3479/2272/1000/4301/3973/2120/5159/23600/5289/6591/595/4233/3313/6282/10181/5987/5829/6566/302/8935/7832/2022/4609/3688/57646/5747/4436/857/5294/10855/3791/6678/1019/966/682/6059/8996/5361/54998/9021/780/7852/5337/5328/3732/5879/2263/3690/3488/2296/2064/4323/10664/4601/8031/328/4318/3480/1634/7020/5329/8289/246/27330/11073/1432/5781/23221/5981/928/11156/5970/3838/2778/1612/6241/1012/7422/25855/5728/9564/8829/9588/3486/2889/4313/11200/4292/9077/8516/1386/3855/6304/11186/10397/6347/6311/4953/5607/2245/10399/6714/100133941/1890/1464/9656/11095/27086/6009/51366/4361/2689/7251/5595/1981/3576/841/858/4171/9166/8743/7490/4683/1312/9618/6360/55486/6850/11059/3091/7515/55662/10133/4904/8563/3624/6352/2324/5426/6502/57509/6385/3738/55272/2321/57591/9149/1739/1647/83990/80204/1544/6513/7428/5241/7068/4835/2932/3845/9368/1906/6777/2146/10371/2950/5618/3856/5008/4322/8202/412/10111/5652/4537/2524/7421/367/4017/6280/960/4582/8838/4982/1499/2026/8792/2535/100507436/6528/51147/3481/8651/8862/4583/2277/3606/3569/836/4824/4327/2101/8835/890/57708/3685/23582/4586/115761/472/7291/283120/5591/3014/6623/4193/50619/140885/894/4486/2099/7472/540/891/6279/3958/771/8648/4089/7535/2810/10553/65018/10217/2688/4771/101/7466/6997/1435/51144/64699/993/274/3297/170689/3292/3320/58497/6531/177/1620/80332/7031/3976/55503/5111/864/648/5698/318/7424/7161/3623/10647/6885/64478/23405/6790/7295/1026/2294/249/896/672/2052/25920/8797/4128/10733/5584/573/7415/1591/7184/374/64766/1789/356/959/3458/6657/4312/3198/10551/768/4250/3552/8600/6462/79679/10017/354/7033/5745/3360/7015/9075/5653/26085/3596/5881/3814/1474/9074/151888/5268/3217/999/1495/7040/4179/575/3065/5156/8878/5468/7431/23411/2247/7010/1027/4916/3482/958/2525/7078/1545/3146/6624/3678/2149/11178/1382/7022/4087/3383/1500/9703/81501/572/199974/4691/7124/3875/3553/5347/10109/5925/9048/4747/1565/3918/94025/2033/8626/7012/4316/5304/3169/1588/81607/6286/5601/9429/387/1604/84951/2194/4869/7378/332/1869/80198/5079/9636/1543/9839/10/1045/9112/3852/994/23135/10863/5753/11197/8844/5744/6716/9500/6774/2051/6548/9518/79776/355/9510/6776/1401/2100/4830/7153/2261/898/6772/331/2633/2023/1029/2309/4751/1191/5931/847/1436/51773/22943/6382/7157/6715/7706/9232/675/7009/4085/6416/634/5243/2177/8085",488
"DOID:3070","high grade glioma","345/9822","347/10312",6.12938965224448e-06,0.00322754084985016,0.00292584642872021,"284403/4288/1021/8788/10533/55553/8208/64506/581/8828/104/5293/5743/5989/11333/4524/1051/1032/6198/3910/3815/3621/724033/2057/596/598/2068/22933/5054/8503/6387/3725/65009/558/10018/816/23005/8880/301/207/3485/57534/1028/1956/23492/3479/9113/3265/10161/5110/10765/3911/3915/3779/5604/3925/5159/5295/1871/595/4233/10512/3312/4609/3688/3956/5747/56105/857/5294/4194/3791/80309/1019/780/5337/3675/6696/5328/5879/2263/2947/2064/4323/4601/8842/55127/4318/5606/3480/1634/23466/3371/5329/3643/4792/5781/6091/10000/9869/65065/8089/388/5728/9531/8829/9588/3486/842/1508/4313/8837/4548/684/8870/6347/5155/285/358/57332/800/9860/208/100133941/3487/3418/4255/5605/4361/56616/3576/841/858/29117/7490/2202/545/10630/8877/4221/6539/3309/5426/1031/3738/954/10457/5915/5803/5764/4846/482/3741/3845/2146/10371/4763/92140/1677/2950/5008/2697/1950/8216/412/369/406997/754/4192/3082/811/3481/8862/64098/63827/4853/3569/836/3491/5787/84557/3611/3685/103/10653/472/6623/4193/3987/10124/396/5228/7442/10096/3958/6364/624/406991/1512/10135/4771/429/2067/5154/5578/3981/1435/114569/6531/2173/546/2264/259266/55859/5291/3897/815/10036/1026/3070/818/4893/2944/896/710/5584/351/3603/6284/55191/2475/374/4282/356/64123/1641/407043/64101/3458/100130776/4312/101929344/3645/768/3558/3565/941/3598/56751/2056/84707/5881/3456/2833/1755/10215/4321/79682/3021/6165/3417/575/5045/4738/1027/3572/3146/6624/5795/3678/3586/4176/5167/8140/25913/4087/3383/3909/10645/572/2147/7124/4552/3020/5925/7447/4314/2323/361/3574/6900/7518/8678/6598/4316/673/6455/6622/7474/6275/407006/387/40/574474/664617/366/332/1869/5338/3373/253559/407007/2260/6125/3597/114614/54894/9046/10728/5894/55966/3747/6774/5742/1116/355/6776/8841/2261/898/57447/1029/1571/3566/6382/7157/5590/6480/23446/675/6416/4049/5029/5243/4133",345
"DOID:326","ischemia","459/9822","464/10312",7.63613765737419e-06,0.00322754084985016,0.00292584642872021,"4671/5074/4878/4879/581/4708/6794/94/839/104/1158/9020/5743/4524/9507/57492/831/27429/80824/1649/3815/3315/1627/23645/6331/952/2057/596/4000/598/5054/222962/6387/10763/2170/558/53615/1839/4204/953/9235/8567/301/4137/23521/1514/207/3308/406971/135/65268/4790/5080/6558/1808/23467/4899/2074/3479/3757/7082/2104/9131/7137/1728/6547/9927/7099/10131/5641/1871/3313/6667/2246/10370/55607/2674/3312/7832/1848/51079/664/5176/840/5747/857/3791/8996/142/6348/7057/406992/23394/5599/7852/4628/6546/5328/7132/3690/6093/4323/328/947/4318/1050/1515/3480/246/18/6194/1432/3778/3336/3064/4976/5621/25942/6376/2030/7422/153/151/5728/2908/3274/7139/7498/4338/90411/842/2811/1508/4313/84867/7225/1386/57817/867/6523/286/6347/285/1390/2805/10399/6714/51719/65266/3304/4155/208/287/6337/284/1890/7073/1464/2621/3576/841/7056/4804/3551/1277/2936/1843/3091/156/7515/10133/6647/3182/488/3181/3309/3934/27018/7070/4217/6446/50848/5764/4846/7428/688/1906/4152/4240/4763/8932/7450/1677/4322/2697/2745/199/5567/7536/1915/5740/1234/960/4192/9255/4982/3082/1994/3627/796/8651/4583/4052/3606/836/9311/1636/4353/8398/2101/84557/9361/3685/3162/4056/3939/1326/27113/3014/8313/2034/4193/65125/1119/51129/5228/3776/54207/2099/506/308/3717/3958/1392/6364/154/2281/10135/4988/6339/24145/2067/9474/5578/5783/654/56729/3297/5465/9590/1395/56667/177/213/186/3976/116/343/6543/5111/9536/5725/5580/1902/4684/2553/5566/246213/4493/1621/11184/815/5734/7295/1524/2153/3716/5058/2021/4502/4494/6340/58157/718/6529/5144/8726/4891/3605/51548/55512/356/959/7066/5444/6863/51083/4504/57084/4099/1440/10804/2693/8858/2056/7432/1813/362/7015/6469/4153/3816/5368/6338/4490/5617/1991/55937/4496/4440/7040/407008/3766/23621/231/3654/660/5468/41/51135/7072/7010/2706/4191/383/2746/958/1471/3572/3990/3146/140/576/406947/1965/3586/2149/2875/2002/7226/6505/348/6401/1020/116443/3383/4489/100529063/572/7224/2147/11093/7124/359948/133/360/3553/2638/3708/361/4747/1439/6403/8795/8678/4744/84868/2033/7054/240/3351/5601/5321/6622/6285/5327/5445/599/3557/805/2185/183/23028/2747/7018/1235/2161/4843/5026/9378/2260/23163/134/961/7529/317/2539/4968/54583/8772/1075/6774/902/5742/6548/4842/5724/4602/1356/355/9510/1401/2100/6402/1385/335/331/727/1191/1571/847/7035/4741/7157/185/12/57030/7276/7351/56947/6416/338/2332/8165/10525/5243/5979/4133/2243",459
"DOID:5844","myocardial infarction","448/9822","453/10312",1.18655293084835e-05,0.00376137279078928,0.00340977842233264,"4878/10533/4879/7042/7423/4043/23274/7804/81027/5594/1281/4780/3673/1158/7046/5743/4524/1509/1573/2729/6198/4256/10060/4151/5350/10631/2057/598/7060/5054/10891/6387/5037/2626/2170/6910/7486/2934/1269/2701/1909/4023/4625/406922/4137/207/3308/221458/846/7134/2335/406923/1028/6872/7133/1490/3479/6532/730/79068/7137/9927/4985/7099/1773/1889/442890/3759/6667/90865/2246/522/376497/2022/664/3688/840/8654/1855/3791/6678/4261/966/59272/28965/142/7057/552/406992/1462/7852/3675/6696/5328/1460/7132/6721/23410/1605/3690/4323/2212/8842/2006/947/4318/112399/3480/1634/3920/6926/3371/5069/5329/4792/8742/3778/8529/4976/7273/51141/7138/2053/7422/153/151/5728/5788/7139/627/948/3329/2811/1508/4313/57817/7408/3033/6347/285/1601/7019/3767/284/7417/1536/9208/9415/1072/5595/3576/4205/8315/7056/407029/1277/2936/5696/3091/859/6647/4904/3624/6352/255738/3934/3002/5902/5126/51024/4217/6385/7058/7048/54210/6272/2321/3084/5764/1544/3700/4846/721/4986/2932/1906/7450/27101/4322/2697/10111/406904/54658/5740/6280/1234/241/4192/9255/4982/2702/3082/2535/406962/796/4208/8651/8862/1584/3606/3569/836/929/1636/56606/4973/3931/4353/84557/3593/890/3162/2784/2034/5331/5228/9370/203/3776/7442/345/2099/8673/308/2204/1910/3717/6649/4035/4089/624/154/406991/10911/3077/3053/5478/2688/10221/2837/101/1282/7296/56729/5465/4624/5968/177/213/5266/4684/3609/2730/2641/5687/9388/1232/1457/7295/2153/51206/6423/51738/283106/2944/2159/718/710/22937/2052/3605/513/2152/440823/3783/732/2475/125/5624/9692/4282/959/623/27092/3458/6657/4312/5055/5444/1071/3957/6019/1440/116519/112744/3552/5967/2691/8600/4852/6590/1907/2056/2165/5972/7941/339479/1493/1437/6469/4153/1557/3816/6356/5617/1991/4018/4881/7040/407008/574411/5468/4507/7097/23411/2247/406938/7010/1027/4191/383/958/1471/7078/3572/3990/3146/406947/3586/2149/5167/348/6401/4087/3383/10537/3570/3909/2147/11093/7124/3875/133/7122/3553/7403/3156/283/5551/4314/126/462/6403/8678/1361/9332/7054/240/3674/10019/3291/10273/10544/7753/6285/1558/5327/8764/11100/3557/7919/9173/183/332/4210/2161/3484/10068/2155/197/731/3699/11120/4795/3075/5340/118/6670/2539/217/5806/7292/54583/2160/5742/337/1559/9518/3240/1116/10267/80310/9510/406942/1401/335/6916/729230/1191/847/1535/7035/3566/6382/7157/7412/185/2244/19/2162/5175/338/4049/5029/2266/64805/350/2243",448
"DOID:6432","pulmonary hypertension","218/9822","218/10312",2.18981403546455e-05,0.0055533683939381,0.00503426721416271,"440275/4878/4879/7423/5592/5594/94/7046/5743/284119/1573/2627/7158/1958/1649/23417/6517/64344/596/598/5054/6387/3725/2626/1909/4773/55669/5139/846/1956/4092/1490/6532/10014/659/1889/522/3248/3066/4609/5747/942/857/8654/59272/81631/7852/6546/6093/4091/4318/9759/498/3371/10800/5970/2053/6376/7422/5728/940/7225/211/6347/9619/5155/285/9496/3098/284/5610/1536/6510/5595/3106/7056/1277/3091/6647/3624/6352/488/3934/7048/658/30835/3397/4846/3741/10266/6865/1906/468/7450/2697/9451/5740/241/11318/8862/657/3569/1636/149233/50507/3162/4854/2078/7291/3777/2034/5228/4093/2099/1910/6869/4089/624/406991/10911/10135/1282/5154/177/5111/8692/1003/187/6301/1026/1524/2153/3037/7223/2294/4128/2152/6909/55512/2475/4090/7222/4282/959/4312/7066/6863/3038/3036/1440/3598/1907/2056/7941/7432/84666/7015/3596/7040/407008/650/3065/5468/7431/2247/7010/1027/383/958/3146/3586/348/3383/1500/257313/7039/2147/655/7124/133/384/3553/3156/3356/6403/151887/240/4086/1373/3105/387/3557/183/332/3373/406910/1543/4843/2260/3597/3240/1401/2100/10894/8841/1191/1535/9459/2923/7412/185/19/7276/5175/5265/3459/26585/2243",218
"DOID:0050700","cardiomyopathy","448/9822","454/10312",4.65480311882708e-05,0.00983715059112124,0.00891762281712136,"7043/80206/4878/4879/29119/1756/9260/3115/1829/581/5071/1917/51330/7098/10324/6392/5236/4619/10142/5608/84876/4634/91624/291/6198/57798/4633/10060/2318/23002/55278/3910/57057/808/10345/4723/5663/88/165904/5310/6671/8048/5350/7111/57570/6331/2065/8404/11155/6389/406990/23417/596/4000/598/2066/57158/3752/5054/51778/10891/6341/1674/6778/2010/1525/7486/5318/51422/6640/2070/4607/1909/6262/1760/2395/70/3728/1306/4625/27063/10486/7140/2921/1514/6722/9997/4790/846/7134/8557/5629/84033/9529/57538/57534/4622/4729/4621/1956/7077/442721/10398/1490/5188/7329/5834/3479/6189/7531/3757/3265/1000/7203/3762/9131/6597/7137/3119/1489/56704/1889/10529/376132/5888/93129/3759/3709/8735/144245/857/4194/3714/10848/6188/801/6678/59272/4882/8448/1410/6445/6696/80781/282996/6157/1605/6123/84665/2064/4323/60/4318/5606/1515/3480/3920/3371/7020/182/908/8742/56945/5781/27068/6786/7273/7138/6376/3921/1355/79621/51116/153/7168/7139/7498/9531/948/3486/4635/842/4313/23054/11277/5469/57817/5533/293/4604/6347/7414/1911/2805/8736/6444/7169/287/2273/3753/10112/59283/841/4205/3106/8743/4535/3784/80228/8877/125965/58498/859/3934/4620/4636/5902/3679/7135/6521/84823/1129/84705/1063/4846/7136/1824/3845/93649/1906/54968/5532/7450/4606/2697/93408/8216/3135/10574/5664/54567/1915/367/9093/369/6280/5530/10730/4982/6256/6210/8792/2103/22948/4720/3627/10575/1584/824/3569/836/57620/1636/5464/6207/84557/3611/3460/102/4776/10693/8313/23057/79188/9370/2099/506/1491/6279/1910/85366/56624/6615/4035/154/2281/10911/3077/1823/6901/57644/2837/5184/5861/5578/1832/6183/56729/4624/292/186/10021/5580/4684/10611/1346/7112/23405/84444/6584/7026/5734/7295/1524/79147/4893/3357/3751/4626/8694/3605/51650/1113/2152/4282/64123/959/3458/3785/4312/1215/84502/3386/8600/3598/1907/50616/22989/83447/9992/1493/7349/1557/3816/116512/1585/152/137868/2833/5133/131118/1837/7040/4179/22895/574411/92737/6176/5468/3786/29851/2920/3516/958/6193/3662/2776/28999/7078/28514/493753/56479/27295/3586/3953/9132/348/5250/4306/10585/3383/1825/3570/8447/2180/7224/3689/4880/7124/133/3553/6330/785/4142/4314/3708/1786/81033/94025/8678/2033/673/6285/57338/805/1340/183/7253/332/5534/81693/3484/1543/388753/155/64116/5138/134/6125/136319/56848/6218/79717/783/5806/5894/6774/3117/2919/4842/3240/5209/355/60528/1401/574034/2100/2218/847/7035/7157/185/10059/29126/3385/5579/3459/4001",448
"DOID:0060084","cell type benign neoplasm","473/9822","480/10312",6.37489826566712e-05,0.0115476728583799,0.0104682539941481,"7043/1586/4288/1734/8788/55422/581/5594/4780/3673/5933/7046/5290/5743/4524/1051/57496/7532/3880/1958/2065/2057/27043/596/598/2066/2068/6387/3725/6422/10763/1525/2934/6927/84231/1289/301/1514/6722/207/7508/3489/846/6662/6271/1956/5339/4595/3479/6925/3757/1001/9351/3762/9131/79068/1728/3973/7099/9457/23600/2987/54822/595/4233/10466/6282/2246/3912/7248/3066/1288/4609/3688/3956/5747/4436/11214/857/10848/3791/1019/1487/142/6934/7057/239/6751/780/1462/7852/3675/5328/1460/7132/578/2263/6497/2064/6549/947/4318/3480/2516/246/4147/1667/5781/56034/63892/8462/4158/6414/11284/1668/2778/1612/1012/2137/7422/5728/6424/4088/176/7148/5914/3486/1508/4313/4241/8837/4548/4292/57817/3855/3800/8323/54361/5155/4953/5052/6817/800/4155/1030/4255/121227/1464/406955/4361/3753/5595/3576/841/1009/4588/4851/4171/7516/11171/8743/10849/7490/2202/1312/1277/4012/3091/2271/7515/4221/4488/37/5426/1031/7173/5467/7058/4487/6272/6843/5915/3952/3061/4846/6513/5241/7067/7249/3845/1906/2690/2146/4763/7450/2950/1950/412/706/2252/7421/9146/367/960/9962/4582/7080/11318/2879/3082/1994/1499/6256/5076/2535/100507436/6528/1453/9049/3481/8651/4583/1584/2277/2735/574496/3569/836/2984/23596/1636/4353/9611/7517/3593/890/7851/6498/406906/652/3162/4586/2308/7291/6693/5443/5947/6623/7507/4193/84699/10152/8773/900/4486/268/2099/7472/891/4923/406991/5122/2688/2878/4118/4760/4771/4922/326340/5154/196/7296/8554/4969/7031/29997/160728/1594/5111/9536/1902/2264/4684/7424/7161/3623/324/79577/10647/3897/2487/843/9076/1026/406952/6804/9133/6423/51738/2877/2944/896/2797/672/2052/8797/1113/573/2475/4282/1789/356/623/3458/4312/9963/27035/5449/51083/10232/1082/2692/768/887/2693/8200/6754/83998/3062/1813/5651/7476/6755/3360/7015/6469/1671/9075/23620/190/2172/7201/1585/5121/1812/6736/1630/3284/10215/574479/3630/999/1495/7040/5156/6752/5468/2247/442916/4629/2719/23522/1027/3482/3572/6616/10590/6624/1081/3586/3953/8140/3290/4087/7849/5047/1301/5324/4691/7124/3875/133/3553/50940/3756/3858/5925/1366/4314/247/126/361/55384/7518/10752/8626/1475/4316/6550/240/29106/673/1811/1588/3291/6286/5321/1520/6275/407006/406956/3159/81029/7253/332/10381/64759/1287/1543/4843/1803/10/1045/8536/3964/4311/8991/54894/3625/217/406881/11197/1733/5733/4968/5894/6663/5744/6774/5742/4826/8851/574450/9518/388585/355/1401/2100/4232/4830/6520/1385/7153/6772/331/8091/5245/1029/2309/1191/7157/1510/330/4897/7462/5581/9232/5175/4670/634/5243/5979/4133",473
"DOID:2394","ovarian cancer","435/9822","441/10312",7.58451853041622e-05,0.0120112636536814,0.0108885106340861,"4288/2118/7042/1364/23523/389/581/5071/6794/5594/1917/56648/4780/839/5290/2956/5743/5608/79727/1263/1827/27429/729082/5935/2274/3815/3315/6277/10631/55353/9846/7052/6517/596/2068/5054/10891/5037/2175/1909/1839/6428/8880/6515/3728/2119/90780/4254/55160/3123/10413/4162/207/3485/7508/4790/1399/51447/1956/7037/7133/1490/7329/3479/25875/2896/3265/10642/56946/659/3119/9472/5604/3925/5888/595/4233/2246/23095/2022/4609/3688/4831/25937/11145/5747/53340/857/4194/55898/3791/112939/6678/1019/966/682/7057/10734/7402/780/1462/7852/5328/7132/3732/2263/5460/10011/3690/2064/4323/8842/8031/328/4318/6926/5329/8289/4792/182/1432/10000/2523/574441/928/4678/5970/4345/9099/3838/1012/7422/5728/3486/4313/8837/8516/5469/3855/6470/5564/11186/837/6714/9212/208/284/1890/7251/1072/56616/5595/3576/4851/4171/29117/1806/7516/9166/2938/7490/4683/1312/10630/4174/1843/5920/3091/7515/7448/4904/56413/3624/3934/580/5426/7070/6502/4317/57509/5467/4072/658/3084/3397/4846/6513/3845/1906/1831/7799/92140/2950/4322/1950/290/2252/5652/7421/54658/2492/84991/5893/9097/1234/54984/960/1499/811/11012/3481/8651/2277/79626/3606/5359/100302203/657/3569/836/7298/124641/8835/3611/3685/4854/283120/5591/6623/5934/7507/4193/6768/3206/9622/7178/900/55450/268/2099/540/506/891/310/6615/4089/2810/406991/822/3077/4070/1318/2067/5578/8869/64073/55135/1244/7083/7031/3976/9536/864/30008/9354/648/8692/4684/4363/83706/259266/7424/10103/3623/324/3897/63928/1232/6790/5734/2353/7295/1026/3716/5058/6418/3037/2944/896/57167/1875/23552/672/7076/8797/51176/5584/5395/1591/4282/356/820/93659/81/4312/5444/4680/10406/10232/3036/2348/2691/941/25803/7471/30848/269/8856/7015/4153/3816/5653/26085/3596/3814/6356/1485/23532/4914/3283/3284/5268/4321/999/57535/7040/814/650/5883/5045/5463/216/5468/2247/329/7079/2719/1978/1027/2525/7534/3586/2149/11178/874/25913/4087/3383/10023/64127/7849/5047/7039/2147/655/7124/7122/5347/283/1366/462/29923/94025/10752/8678/4316/1588/6692/6286/4615/5732/6275/407011/387/4978/3364/8848/8826/332/3373/6362/6690/8647/10418/1803/6495/2155/50943/5655/5244/51741/4968/4646/6774/3117/2919/5742/2071/9518/214/1116/355/5650/983/2100/4830/8841/898/331/8091/1029/9459/51773/22943/3600/6382/7157/5590/2113/834/675/5175/6416/338/5243",435
"DOID:4450","renal cell carcinoma","465/9822","472/10312",8.52534486460038e-05,0.0120112636536814,0.0108885106340861,"10825/4288/4057/26762/581/8555/1523/5594/4780/7869/7098/7873/5290/5743/4524/4584/80723/27429/4256/3910/4286/3815/3315/2057/6421/6891/596/598/2066/5054/6387/3725/6422/1969/558/94015/10018/6927/6390/1909/3728/26018/4254/3123/301/207/3485/3308/5198/4790/3489/2335/6271/5471/1956/7037/7077/7133/3479/2272/659/3490/3119/5604/5159/55845/23600/5295/595/4233/977/84864/5829/302/6427/7832/2022/4609/3688/2624/4436/857/5294/10855/6599/6678/1019/682/8996/7057/239/780/7852/6696/5328/7132/578/2263/80781/1605/3488/2064/5602/5546/4323/29072/1006/947/515/4318/112399/3480/3371/84148/5329/8671/3643/8289/182/10000/5970/539/5550/1612/80381/39/1039/55193/7422/5728/2908/8829/56937/10657/54739/3486/4856/4313/4292/684/201163/57817/3855/1017/57007/23189/11186/6347/5155/358/10399/5715/10395/79109/7049/100133941/3487/284/1890/11315/1030/10298/2621/56616/5595/3576/841/4851/9166/7490/4683/1312/10630/84925/2936/1843/4012/3091/7515/55662/3718/445/79814/3309/7481/6502/7048/2321/4072/5915/6430/3952/2168/5583/6513/7428/7067/7249/721/7068/3249/3845/1906/5371/2146/92140/7450/2950/27101/4322/1950/3135/3559/5652/6431/7421/84798/367/80333/6928/960/4582/3082/1994/1499/6256/5076/5216/3606/4853/3569/836/1636/7298/3491/677/3611/652/9817/4854/10653/7159/64866/1326/2034/4193/6768/51129/5228/9370/9073/4486/517/3202/2099/891/1910/9043/3717/4035/4089/4103/10991/6862/7030/970/4771/5154/64073/654/10928/4837/2623/114569/6426/3455/307/2173/177/326624/27123/186/7083/27338/5111/5698/4363/6484/7424/7161/3623/324/3897/11170/6790/9076/1026/406952/790/3716/5058/28512/6423/7223/51738/2944/896/7076/8797/567/3603/7980/406900/2475/8644/356/5104/959/54845/4312/10053/174/638/79444/10232/1082/768/3558/3565/2691/4108/2056/79679/2796/1493/7015/6469/1381/1014/5653/6338/2705/3814/2833/5133/4105/4102/54106/4321/999/1495/7040/4179/4920/1163/575/5156/5468/2247/329/7079/1942/1027/3587/7078/23081/6624/1965/348/1382/4306/4087/7849/407051/572/2147/655/7124/3875/150696/7403/3756/5925/5891/283/1366/4314/7518/94025/84868/2033/8626/7012/3795/6598/4316/3291/405/9940/9429/3105/341/8242/10481/3557/6429/183/332/1869/58191/5338/6690/4495/1543/4843/2260/11236/10818/23135/4311/112398/6518/407047/317/916/10459/11197/4968/54583/407046/8772/6774/5742/5364/4855/214/6432/355/7345/10628/1401/4830/54443/898/6772/331/57447/5901/1029/1191/8379/1436/3566/22943/6646/7157/10643/7021/5590/330/185/4085/5175/5243/26585",465
"DOID:2151","malignant ovarian surface epithelial-stromal neoplasm","318/9822","321/10312",0.000113788730727555,0.0131167373238673,0.0118906501391857,"4288/2118/7042/23523/389/581/6794/5594/56648/4780/839/5290/5743/5608/79727/1827/5935/2274/3815/3315/6277/10631/55353/9846/7052/6517/596/2068/5054/10891/1909/1839/6428/6515/2119/90780/55160/3123/4162/207/3485/7508/4790/51447/1956/7133/1490/25875/2896/3265/10642/56946/659/3119/5604/3925/595/2022/4609/3688/4831/11145/5747/53340/857/4194/55898/3791/112939/1019/682/7057/10734/780/1462/7852/5328/7132/5460/10011/3690/2064/4323/8031/4318/8289/4792/182/1432/2523/5970/9099/3838/7422/5728/3486/4313/8837/5469/5564/6714/9212/208/1890/1072/56616/5595/3576/4851/4171/1806/7516/9166/7490/10630/4174/1843/5920/3091/7515/7448/4904/3624/7070/6502/57509/5467/4072/658/6513/1906/1831/7799/92140/2950/4322/1950/290/7421/2492/84991/5893/9097/1234/54984/960/1499/11012/3481/8651/2277/79626/3606/5359/657/3569/836/7298/8835/3685/4854/5591/6623/5934/7507/4193/3206/7178/900/55450/268/2099/540/506/6615/2810/406991/822/3077/4070/1318/2067/5578/8869/1244/7083/7031/3976/864/9354/648/8692/4684/7424/10103/3897/63928/6790/5734/2353/7295/1026/5058/3037/896/1875/23552/672/7076/5584/1591/4282/356/93659/81/4312/5444/4680/10406/10232/3036/2348/941/7471/30848/8856/7015/3816/5653/26085/3596/3814/6356/1485/23532/4914/3283/3284/5268/4321/999/57535/7040/814/650/5463/216/5468/329/7079/2719/1978/1027/2525/7534/3586/2149/11178/874/4087/10023/7849/5047/7039/655/7124/7122/1366/29923/94025/10752/8678/4316/4615/5732/6275/407011/387/4978/8848/8826/332/3373/6362/8647/10418/1803/6495/50943/5244/51741/4646/6774/3117/2919/2071/9518/214/1116/355/5650/983/2100/4830/8841/898/331/1029/9459/51773/22943/6382/7157/5590/2113/675/6416/5243",318
