"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04142","Lysosome","42/1446","132/8586",1.5473429270937e-05,0.00228592900657575,0.00183161632891379,"8692/1512/2517/1509/10577/5476/2548/537/527/55353/20/26088/4669/3073/26503/1200/1519/427/162/5641/285362/51606/84572/3074/3916/3988/2799/2581/1211/8120/8943/3920/410/967/950/164/9583/10717/968/411/1513/1515",42
"hsa05020","Prion disease","73/1446","272/8586",1.67475216292907e-05,0.00228592900657575,0.00183161632891379,"5880/729/5600/116443/3303/64837/89953/1958/9377/1535/6300/5594/5290/6352/3304/3831/581/5602/4709/317/7385/5879/514/5534/4706/4537/10975/1349/4694/4698/4716/7381/4729/1329/54539/4701/4707/3312/506/4541/4708/513/4728/498/1347/1350/4717/51079/4536/4508/5682/5700/5685/3309/84790/292/5717/10383/5695/468/5686/1649/7277/5718/1965/4704/203068/84617/5692/4509/4688/347733/9586",73
"hsa04932","Non-alcoholic fatty liver disease","47/1446","155/8586",2.04710060290365e-05,0.00228592900657575,0.00183161632891379,"5313/5600/2353/6256/9377/2931/6300/5290/83737/6720/3725/581/5602/7186/51085/4709/7385/5879/4706/10975/1349/4694/51422/4698/4716/7381/4729/1329/54539/4701/4707/5465/4708/4728/1347/1350/4717/51079/3643/468/5562/1649/5563/3953/1965/4704/3630",47
"hsa04141","Protein processing in endoplasmic reticulum","50/1446","170/8586",2.80609580130601e-05,0.00235010523359378,0.00188303797192903,"578/4121/3303/7991/56893/10484/10808/55432/10961/5887/56605/3304/5589/581/5602/7186/2923/3337/7466/51619/823/10277/6048/27248/23193/29978/29979/3320/573/258010/10294/3312/9978/58505/3309/6185/22824/7415/10525/6747/821/3703/824/1650/468/1649/10905/1965/5611/7353",50
"hsa05415","Diabetic cardiomyopathy","57/1446","203/8586",3.53165002800674e-05,0.00236620551876451,0.00189593843608783,"183/5880/5600/1277/948/1509/1278/9377/1535/6300/5290/5524/5602/1376/5501/4709/7385/5879/514/4706/4537/10975/1349/4694/816/4698/4716/7381/4729/25874/1329/54539/4701/4707/506/5465/4541/4708/513/4728/498/1347/1350/4717/51079/4536/4508/2936/292/3643/5578/4704/2597/4088/3630/4509/4688",57
"hsa05012","Parkinson disease","70/1446","266/8586",4.96281704183477e-05,0.00277090618169108,0.00222020762397871,"1843/91252/2770/111/64837/4129/89953/9377/27429/808/65018/3831/581/5602/4709/317/7385/805/514/4706/7922/7314/4537/10975/1349/4694/816/4698/4716/7381/4729/1329/54539/4701/4707/506/4541/4708/513/801/4728/498/1347/1350/4717/51079/4536/4508/5682/7332/5700/5685/3309/84790/292/5717/10383/5695/468/5686/1649/7277/5718/1965/4704/203068/84617/5692/4509/347733",70
"hsa05014","Amyotrophic lateral sclerosis","90/1446","364/8586",5.82702900020925e-05,0.00278864959295728,0.00223442465421558,"5600/834/64837/400916/89953/9377/56893/283/6300/55706/65018/2891/9818/51164/3831/581/7186/127602/9973/4709/317/7385/5861/5879/29978/514/5534/4706/4537/5216/10975/29979/1349/4694/2521/4698/4716/81631/7381/4729/1329/54539/10189/4701/4707/506/4541/4708/513/4728/498/3181/1347/1350/4717/51079/4536/4508/5682/4842/5700/5685/3309/84790/7415/5717/55062/84516/10383/10540/5695/468/9688/79023/5686/1649/7277/4928/5718/1965/30849/4704/203068/23279/56171/84617/5692/4509/347733/2066",90
"hsa04145","Phagosome","44/1446","152/8586",0.000125284984586733,0.00524630872956945,0.00420364093021275,"3135/3122/2212/7058/948/3134/3109/3123/3113/9902/653509/3105/3108/715/537/527/1535/3115/3693/155066/3106/9550/8417/949/51606/3916/5879/3685/4481/3107/3920/4842/84790/10383/821/22925/7277/718/203068/84617/3119/4688/347733/6891",44
"hsa00190","Oxidative phosphorylation","39/1446","134/8586",0.000262951888246846,0.00978765361807703,0.00784242473718663,"537/9377/527/155066/9550/51606/4709/7385/514/4706/4537/10975/1349/4694/4698/4716/7381/4729/1329/54539/5464/4701/4707/506/4541/4708/513/4728/498/1347/1350/4717/51079/521/10632/4536/4508/4704/4509",39
"hsa05130","Pathogenic Escherichia coli infection","52/1446","198/8586",0.000470774498780183,0.0157709457091361,0.0126365786514681,"5600/1365/9075/578/8936/2212/2353/834/10095/29108/8743/4615/5777/1366/6300/2768/5594/9368/4430/81873/3725/581/5602/644150/7186/4641/5861/5062/5879/10094/4690/5010/6188/84790/10972/4691/10383/4651/7277/100506658/55930/837/203068/2597/9826/84617/3554/347733/149461/8517/8797/3059",52
